from http://www.psc.isr.umich.edu/dis/census/Features/tract2zip/,,,
Zip,Median,Mean,Pop
1536,89347.45,101686.20,5977.00
1537,68664.00,77943.00,2219.00
1540,62079.26,72326.36,10958.00
1541,102853.00,114762.00,3341.00
1542,67171.66,77659.65,2025.00
1543,81295.00,88574.00,6332.00
1545,88643.24,101693.03,31637.00
1550,48194.92,55175.62,17217.00
1560,68854.00,94984.00,2754.00
1561,80938.00,104486.00,236.00
1562,65184.01,71987.79,11681.00
1564,102115.00,118110.00,7267.00
1566,72387.06,87792.21,5531.00
1568,107950.00,121356.00,5650.00
1569,80536.35,86326.18,11080.00
1570,50141.80,57820.04,16396.00
1571,64228.22,72673.96,10023.00
1581,101875.71,123549.97,17899.00
1583,79865.40,91095.39,6665.00
1585,60375.65,72570.85,4472.00
1588,67286.14,80024.61,8644.00
1590,104729.69,116563.42,8247.00
1602,61861.44,78373.60,21596.00
1603,37453.74,46306.69,14613.00
1604,47437.88,59373.00,33032.00
1605,41023.11,54480.11,24799.00
1606,57646.18,70503.42,19516.00
1607,47987.45,59093.90,8415.00
1608,26525.96,39039.08,3634.00
1609,44500.93,62365.11,20425.00
1610,21388.23,28804.68,15545.00
1611,63333.00,73699.00,2206.00
1612,100358.38,104489.45,4363.00
1701,92017.75,102935.74,31114.00
1702,53080.71,65995.32,35990.00
1718,84559.00,121293.00,374.00
1719,102222.00,119845.00,4870.00
1720,110533.89,131678.41,19798.00
1721,91903.57,114035.86,14602.00
1730,107033.20,125493.58,12547.00
1731,77368.85,96728.30,2914.00
1740,125741.00,148232.00,4125.00
1741,155000.00,189989.00,4798.00
1742,119901.54,183177.71,17075.00
1745,114761.00,142894.00,331.00
1746,101901.33,122803.21,13866.00
1747,97227.00,102044.00,5815.00
1748,121181.79,170522.41,13318.00
1749,76499.94,85689.43,18081.00
1752,71835.30,89002.07,36273.00
1754,76227.90,82167.28,10414.00
1756,102625.00,117692.00,5257.00
1757,68565.01,82206.19,26877.00
1760,90673.04,113932.86,31763.00
1770,145250.00,190251.00,4245.00
1772,141458.54,169609.20,8435.00
1773,143771.02,194811.48,5143.00
1775,117440.00,129280.00,5902.00
1776,152789.03,184218.11,16826.00
1778,140651.72,187265.20,13191.00
1801,71804.85,79381.13,37213.00
1803,90658.68,102990.52,22954.00
1810,113873.82,142022.47,31228.00
1821,87744.55,95088.00,29306.00
1824,99032.45,111953.09,25234.00
1826,71731.43,80688.39,28728.00
1827,113594.00,120673.00,2847.00
1830,63387.74,71759.08,24320.00
1832,57958.52,69231.72,21246.00
1833,97894.68,115435.16,7356.00
1834,84232.00,95694.00,6027.00
1835,76253.08,86304.28,13426.00
1840,18507.31,28623.94,4350.00
1841,34128.32,42598.24,44474.00
1843,42587.25,52579.13,23184.00
1844,66023.41,75431.49,43770.00
1845,99504.89,123973.09,27203.00
1850,54087.29,58893.35,15688.00
1851,51794.63,61695.46,29549.00
1852,55088.51,62625.81,32848.00
1854,44615.94,54300.36,26785.00
1860,75517.00,93951.00,6145.00
1862,86303.79,90704.90,10097.00
1863,77457.79,88612.20,8558.00
1864,97574.08,112661.74,13849.00
1867,103358.32,120486.58,23657.00
1876,83975.50,95140.04,28599.00
1879,92239.43,106477.37,11092.00
1880,89829.90,99934.81,24610.00
1886,123905.74,142724.35,20811.00
1887,97106.63,108006.74,21279.00
1890,128545.95,176000.75,20806.00
1901,18257.39,33810.26,1630.00
1902,38106.80,49159.20,45617.00
1904,69263.40,77218.07,17916.00
1905,42448.53,51336.10,23905.00
1906,69050.96,84873.57,26160.00
1907,90516.04,120329.17,14463.00
1913,73843.39,90785.99,16447.00
1915,71363.19,90717.46,39854.00
1921,143045.00,205695.00,7903.00
1922,91052.00,113098.00,3041.00
1923,76694.55,97282.63,25239.00
1929,76989.00,104199.00,3272.00
1930,63047.31,78511.67,30261.00
1938,82394.81,98028.94,12981.00
1940,90676.60,114264.30,11926.00
1944,105000.00,148622.00,5234.00
1945,95941.78,139641.27,20370.00
1949,87728.00,106394.00,7748.00
1950,76313.16,102336.56,17249.00
1951,91052.00,113098.00,3622.00
1952,62923.69,77418.66,7819.00
1960,67118.62,78618.85,47991.00
1966,73675.52,93989.87,7762.00
1969,74911.00,97895.00,5504.00
1970,57312.61,70551.60,40268.00
1982,97491.20,104573.30,8299.00
1983,115015.00,133663.00,6132.00
1984,132697.00,181580.00,4451.00
1985,111739.00,140801.00,4160.00
2019,77420.44,84271.35,15248.00
2021,88828.95,112721.25,20755.00
2025,114214.00,165670.00,7255.00
2026,85130.84,103593.55,23478.00
2030,164583.00,240515.00,5561.00
2032,77708.00,101593.00,3576.00
2035,94993.52,108947.86,16163.00
2038,92041.71,107379.08,29553.00
2043,99909.50,146972.46,19867.00
2045,70039.00,89784.79,11047.00
2047,75170.00,102029.00,247.00
2048,93593.40,109080.20,22393.00
2050,85394.94,105523.99,24577.00
2052,123175.72,169008.39,12254.00
2053,100949.96,116761.12,12503.00
2054,85472.00,95458.00,7892.00
2056,111766.96,137648.61,10608.00
2061,106730.31,144569.48,9785.00
2062,72935.39,84346.86,28563.00
2066,92394.27,116245.35,17349.00
2067,117828.36,144690.97,17425.00
2071,91780.98,107425.76,956.00
2072,69340.23,81996.82,27342.00
2081,92953.55,119374.80,18430.00
2090,116083.11,154504.06,14150.00
2093,94523.52,123596.31,10446.00
2108,96032.57,149808.87,3324.00
2109,92310.49,129015.14,3278.00
2110,102972.30,135092.85,1606.00
2111,31442.28,93529.08,4948.00
2113,60386.27,84170.36,6453.00
2114,69808.63,110095.23,11170.00
2115,30282.33,54355.85,25637.00
2116,80153.32,136490.72,19480.00
2118,51368.10,82359.60,22527.00
2119,36316.21,47418.51,23537.00
2120,28794.43,41568.90,11553.00
2121,28896.78,42270.82,24772.00
2122,45858.50,59862.59,24385.00
2124,43597.63,56611.50,51236.00
2125,44265.70,57482.34,32937.00
2126,51732.87,59319.64,27685.00
2127,64284.94,80697.22,29457.00
2128,42613.46,55094.70,38185.00
2129,80222.53,108708.73,15195.00
2130,69575.54,90454.83,34961.00
2131,62945.41,73123.94,30491.00
2132,76801.56,95567.06,25943.00
2134,33862.72,47915.26,19641.00
2135,52714.25,64682.21,41833.00
2136,54410.31,67054.33,26418.00
2138,68126.93,112347.91,34994.00
2139,62821.19,83355.74,35273.00
2140,65282.73,91656.06,17158.00
2141,57908.91,79407.80,12010.00
2142,61141.22,88668.67,1823.00
2143,64966.14,79417.19,24864.00
2144,68003.52,80579.35,24248.00
2145,50718.02,63041.42,26833.00
2148,55890.45,66741.07,56273.00
2149,49695.75,62187.26,38109.00
2150,40344.13,50098.18,34956.00
2151,51723.40,60339.82,47323.00
2152,68218.38,82769.33,18303.00
2155,69802.75,82586.05,57291.00
2163,23429.00,39215.00,929.00
2169,56647.49,69209.70,52278.00
2170,64308.82,77390.36,19203.00
2171,66807.64,80719.12,16610.00
2176,85681.14,95603.86,27173.00
2180,78103.01,86636.68,22116.00
2184,77128.92,95668.01,33731.00
2186,98712.01,125635.91,26112.00
2188,65251.06,80495.01,13828.00
2189,62490.56,73955.82,14455.00
2190,74204.90,89585.13,16780.00
2191,68143.10,75926.32,8916.00
2199,68080.00,149005.00,1004.00
2203,106602.00,135049.00,1.00
2210,61807.48,86291.04,413.00
2215,30726.35,51217.60,21896.00
2301,48469.71,58673.67,61459.00
2302,62408.12,66148.95,32523.00
2322,67313.00,77494.00,4483.00
2324,80878.94,87642.00,22922.00
2330,70048.23,77568.60,11169.00
2332,116903.89,149633.08,14241.00
2333,82133.46,89921.92,13012.00
2339,104787.07,118370.52,13171.00
2341,81912.49,90514.87,9550.00
2343,62560.30,74251.36,10705.00
2346,72466.35,80698.17,19926.00
2347,94495.12,102487.45,9810.00
2351,75849.64,83124.31,14614.00
2356,99681.83,123583.21,12966.00
2357,101136.00,146319.00,323.00
2359,83622.35,95279.88,16907.00
2360,74602.73,86752.75,51563.00
2364,78922.85,100027.43,11805.00
2366,89632.00,93117.00,126.00
2367,87917.00,98668.00,2622.00
2368,65118.32,74837.43,30999.00
2370,62854.96,74683.64,17665.00
2375,78410.29,93428.65,9034.00
2379,73651.50,88014.45,6610.00
2382,77027.02,83066.10,13867.00
2420,139453.10,181880.67,14109.00
2421,126827.06,167893.67,16360.00
2445,105026.72,160932.70,21282.00
2446,67338.24,105306.71,24351.00
2451,78674.68,95994.59,17553.00
2452,67088.12,84728.43,12642.00
2453,59067.14,75079.62,29043.00
2457,179792.00,273410.00,551.00
2458,90740.24,123496.53,12603.00
2459,128598.14,176962.47,18940.00
2460,107494.64,140026.00,8772.00
2461,110373.35,149142.76,6599.00
2462,134119.40,208054.36,1679.00
2464,81143.14,111516.61,2958.00
2465,110531.05,158981.60,11789.00
2466,115115.78,167279.77,7010.00
2467,130044.35,220733.74,15408.00
2468,166454.46,240444.94,5429.00
2472,74968.48,89065.01,32913.00
2474,82845.24,100434.16,25806.00
2476,83975.23,104444.83,16533.00
2478,95268.79,133543.48,24296.00
2481,173680.52,243579.08,14503.00
2482,123003.26,185217.71,11569.00
2492,118210.85,168697.31,20064.00
2493,147946.06,277514.17,11526.00
2494,104492.17,139639.02,8885.00
2532,60257.39,73419.95,11275.00
2534,60788.00,74722.00,865.00
2535,68906.00,98197.00,1182.00
2536,61733.45,75012.33,19684.00
2537,86642.79,98308.82,5732.00
2538,54544.58,65411.67,3528.00
2539,67625.00,93683.00,3771.00
2540,58667.18,96887.56,8794.00
2542,39803.00,51101.00,1588.00
2543,82354.99,136359.37,845.00
2553,70197.00,80940.00,249.00
2554,61502.23,92072.76,6889.00
2556,67750.00,87409.00,3352.00
2557,59156.00,75430.00,3684.00
2558,51662.00,60627.00,1779.00
2559,62761.07,76025.91,3309.00
2561,68597.00,79039.00,481.00
2562,68960.08,79286.45,2881.00
2563,84184.48,97816.89,10346.00
2564,81944.00,158042.00,388.00
2568,516.28,691.38,31.00
2571,55499.97,66213.57,10045.00
2575,68906.00,98197.00,2438.00
2576,62033.81,70427.68,3213.00
2584,81944.00,158042.00,4.00
2601,44219.04,55017.16,15104.00
2630,71382.96,104286.22,1873.00
2631,58279.56,76848.75,9796.00
2632,67464.03,81139.79,11376.00
2633,65870.56,102921.93,4282.00
2635,75166.00,104492.00,3412.00
2637,71516.00,104499.00,277.00
2638,56769.71,75909.37,3700.00
2639,47355.93,62216.49,3363.00
2641,61013.00,80493.00,719.00
2642,59536.01,74408.32,5431.00
2643,62589.00,82230.00,45.00
2644,82198.00,86837.00,3876.00
2645,55137.01,75250.99,9578.00
2646,52699.76,74549.44,1947.00
2647,47353.00,56686.00,168.00
2648,71212.10,91676.61,7610.00
2649,62992.63,80307.09,12960.00
2650,64477.00,105609.00,979.00
2651,54464.00,69597.00,13.00
2652,80425.00,82651.00,1288.00
2653,57061.87,76181.59,6359.00
2655,72786.17,103287.53,3956.00
2657,44646.00,65485.00,3430.00
2659,67569.00,99647.00,1102.00
2660,52611.10,66273.86,6546.00
2663,66109.00,85199.00,130.00
2664,46673.31,59893.11,9702.00
2666,80425.00,82651.00,790.00
2667,66117.75,85193.00,2614.00
2668,71946.98,99934.70,3274.00
2669,67569.00,99647.00,259.00
2670,36555.00,54887.00,1630.00
2671,55676.71,85191.24,1061.00
2672,51601.22,62500.11,249.00
2673,46414.16,61552.43,8985.00
2675,63556.93,80123.85,6712.00
2702,91095.00,91631.00,3869.00
2703,67397.79,77812.75,41916.00
2713,68906.00,98197.00,55.00
2715,83613.03,90286.41,2591.00
2717,75792.98,83033.09,4594.00
2718,81142.01,82796.16,6406.00
2719,53936.22,63866.42,16150.00
2720,47793.57,57117.03,31309.00
2721,32105.72,42515.75,26428.00
2723,30338.09,38250.53,16231.00
2724,30652.36,40876.96,17397.00
2725,65712.00,67216.00,2663.00
2726,68267.38,76224.15,15530.00
2738,101006.00,125277.00,5118.00
2739,74877.00,92712.00,6282.00
2740,38237.62,47584.08,43249.00
2743,70836.36,76924.92,10148.00
2744,31127.88,48515.29,11667.00
2745,51951.15,59327.93,23851.00
2746,24098.78,35477.08,14861.00
2747,72292.06,79915.45,19451.00
2748,72885.21,89831.60,11531.00
2760,79273.93,89441.41,25526.00
2762,73645.00,82637.00,7678.00
2763,76721.98,87166.07,1782.00
2764,83621.00,90292.00,3623.00
2766,77953.10,90783.96,17869.00
2767,76337.67,88695.88,11839.00
2769,90530.21,106149.29,10179.00
2770,95022.00,97975.00,4397.00
2771,73960.77,90915.58,13507.00
2777,70244.91,82589.97,15945.00
2779,81125.00,90841.00,5748.00
2780,53795.91,62457.35,49469.00
2790,68366.68,83137.10,14305.00
2791,72105.00,100424.00,302.00
2802,62982.00,77405.00,733.00
2804,71104.00,79440.00,2574.00
2806,105128.24,131773.84,16818.00
2807,75417.00,99379.00,1009.00
2808,73725.05,87590.32,2279.00
2809,65256.18,80114.83,22438.00
2812,72819.00,89720.00,1216.00
2813,69956.05,87827.28,7847.00
2814,79170.66,84321.35,7664.00
2815,78476.00,93391.00,257.00
2816,68135.47,75981.89,31625.00
2817,81419.00,95881.00,5095.00
2818,90429.82,117615.17,18176.00
2822,98411.01,105363.09,5697.00
2825,73268.41,95032.55,4922.00
2826,65948.00,78029.00,832.00
2827,79051.27,88881.91,2149.00
2828,78326.41,92801.76,7396.00
2830,65422.56,75289.11,5806.00
2831,68687.31,81386.47,3487.00
2832,71453.50,81507.35,4481.00
2833,71104.00,79440.00,708.00
2835,77813.00,107319.00,5617.00
2836,72819.00,89720.00,98.00
2837,94866.00,114713.00,3592.00
2838,62982.00,77405.00,3712.00
2839,65948.00,78029.00,1833.00
2840,58814.87,77475.90,25661.00
