"Gini Coefficient*, All Counties in the United States, 2006-2010",,
,,
,,
Geography,Gini Coefficient Estimate,Margin of Error
"St. Clair County, Illinois",0.442,0.006
"Saline County, Illinois",0.469,0.037
"Sangamon County, Illinois",0.437,0.008
"Schuyler County, Illinois",0.367,0.029
"Scott County, Illinois",0.456,0.046
"Shelby County, Illinois",0.405,0.017
"Stark County, Illinois",0.447,0.037
"Stephenson County, Illinois",0.419,0.018
"Tazewell County, Illinois",0.4,0.009
"Union County, Illinois",0.437,0.02
"Vermilion County, Illinois",0.427,0.012
"Wabash County, Illinois",0.428,0.038
"Warren County, Illinois",0.4,0.019
"Washington County, Illinois",0.379,0.015
"Wayne County, Illinois",0.437,0.033
"White County, Illinois",0.435,0.022
"Whiteside County, Illinois",0.411,0.014
"Will County, Illinois",0.384,0.005
"Williamson County, Illinois",0.443,0.018
"Winnebago County, Illinois",0.441,0.008
"Woodford County, Illinois",0.402,0.019
"Adams County, Indiana",0.38,0.015
"Allen County, Indiana",0.428,0.008
"Bartholomew County, Indiana",0.427,0.017
"Benton County, Indiana",0.364,0.023
"Blackford County, Indiana",0.424,0.033
"Boone County, Indiana",0.514,0.066
"Brown County, Indiana",0.418,0.025
"Carroll County, Indiana",0.397,0.027
"Cass County, Indiana",0.414,0.021
"Clark County, Indiana",0.394,0.009
"Clay County, Indiana",0.367,0.014
"Clinton County, Indiana",0.386,0.016
"Crawford County, Indiana",0.411,0.029
"Daviess County, Indiana",0.396,0.025
"Dearborn County, Indiana",0.378,0.012
"Decatur County, Indiana",0.408,0.026
"DeKalb County, Indiana",0.376,0.014
"Delaware County, Indiana",0.449,0.013
"Dubois County, Indiana",0.402,0.017
"Elkhart County, Indiana",0.428,0.012
"Fayette County, Indiana",0.423,0.016
"Floyd County, Indiana",0.415,0.013
"Fountain County, Indiana",0.389,0.015
"Franklin County, Indiana",0.41,0.023
"Fulton County, Indiana",0.415,0.024
"Gibson County, Indiana",0.409,0.015
"Grant County, Indiana",0.425,0.015
"Greene County, Indiana",0.415,0.014
"Hamilton County, Indiana",0.423,0.009
"Hancock County, Indiana",0.396,0.015
"Harrison County, Indiana",0.394,0.031
"Hendricks County, Indiana",0.37,0.009
"Henry County, Indiana",0.401,0.012
"Howard County, Indiana",0.423,0.012
"Huntington County, Indiana",0.397,0.013
"Jackson County, Indiana",0.393,0.017
"Jasper County, Indiana",0.358,0.019
"Jay County, Indiana",0.379,0.018
"Jefferson County, Indiana",0.423,0.02
"Jennings County, Indiana",0.364,0.016
"Johnson County, Indiana",0.399,0.01
"Knox County, Indiana",0.444,0.016
"Kosciusko County, Indiana",0.397,0.011
"LaGrange County, Indiana",0.385,0.018
"Lake County, Indiana",0.43,0.005
"LaPorte County, Indiana",0.418,0.01
"Lawrence County, Indiana",0.429,0.019
"Madison County, Indiana",0.408,0.008
"Marion County, Indiana",0.46,0.005
"Marshall County, Indiana",0.406,0.02
"Martin County, Indiana",0.394,0.026
"Miami County, Indiana",0.41,0.013
"Monroe County, Indiana",0.503,0.013
"Montgomery County, Indiana",0.397,0.026
"Morgan County, Indiana",0.388,0.013
"Newton County, Indiana",0.403,0.034
"Noble County, Indiana",0.358,0.013
"Ohio County, Indiana",0.398,0.025
"Orange County, Indiana",0.438,0.024
"Owen County, Indiana",0.381,0.019
"Parke County, Indiana",0.401,0.023
"Perry County, Indiana",0.403,0.03
"Pike County, Indiana",0.395,0.016
"Porter County, Indiana",0.409,0.009
"Posey County, Indiana",0.398,0.018
"Pulaski County, Indiana",0.396,0.022
"Putnam County, Indiana",0.381,0.012
"Randolph County, Indiana",0.383,0.015
"Ripley County, Indiana",0.397,0.02
"Rush County, Indiana",0.382,0.02
"St. Joseph County, Indiana",0.445,0.007
"Scott County, Indiana",0.402,0.022
"Shelby County, Indiana",0.436,0.025
"Spencer County, Indiana",0.389,0.018
"Starke County, Indiana",0.396,0.014
"Steuben County, Indiana",0.383,0.016
"Sullivan County, Indiana",0.403,0.018
"Switzerland County, Indiana",0.387,0.024
"Tippecanoe County, Indiana",0.462,0.009
"Tipton County, Indiana",0.362,0.021
"Union County, Indiana",0.355,0.024
"Vanderburgh County, Indiana",0.455,0.011
"Vermillion County, Indiana",0.444,0.047
"Vigo County, Indiana",0.452,0.012
"Wabash County, Indiana",0.386,0.017
"Warren County, Indiana",0.407,0.03
"Warrick County, Indiana",0.435,0.028
"Washington County, Indiana",0.409,0.026
"Wayne County, Indiana",0.432,0.02
"Wells County, Indiana",0.393,0.023
"White County, Indiana",0.381,0.02
"Whitley County, Indiana",0.387,0.019
"Adair County, Iowa",0.408,0.024
"Adams County, Iowa",0.458,0.041
"Allamakee County, Iowa",0.359,0.02
"Appanoose County, Iowa",0.451,0.033
"Audubon County, Iowa",0.428,0.025
"Benton County, Iowa",0.378,0.017
"Black Hawk County, Iowa",0.438,0.01
"Boone County, Iowa",0.407,0.024
"Bremer County, Iowa",0.402,0.028
"Buchanan County, Iowa",0.379,0.02
"Buena Vista County, Iowa",0.414,0.022
"Butler County, Iowa",0.399,0.021
"Calhoun County, Iowa",0.422,0.019
"Carroll County, Iowa",0.424,0.021
"Cass County, Iowa",0.402,0.023
"Cedar County, Iowa",0.352,0.015
"Cerro Gordo County, Iowa",0.426,0.016
"Cherokee County, Iowa",0.389,0.018
"Chickasaw County, Iowa",0.401,0.031
"Clarke County, Iowa",0.436,0.08
"Clay County, Iowa",0.452,0.067
"Clayton County, Iowa",0.376,0.013
"Clinton County, Iowa",0.397,0.014
"Crawford County, Iowa",0.401,0.022
"Dallas County, Iowa",0.415,0.014
"Davis County, Iowa",0.412,0.027
"Decatur County, Iowa",0.453,0.029
"Delaware County, Iowa",0.388,0.02
"Des Moines County, Iowa",0.43,0.039
"Dickinson County, Iowa",0.423,0.021
"Dubuque County, Iowa",0.426,0.015
"Emmet County, Iowa",0.455,0.041
"Fayette County, Iowa",0.412,0.022
"Floyd County, Iowa",0.426,0.021
"Franklin County, Iowa",0.387,0.026
"Fremont County, Iowa",0.405,0.026
"Greene County, Iowa",0.402,0.029
"Grundy County, Iowa",0.384,0.028
"Guthrie County, Iowa",0.427,0.035
"Hamilton County, Iowa",0.435,0.03
"Hancock County, Iowa",0.367,0.02
"Hardin County, Iowa",0.42,0.021
"Harrison County, Iowa",0.393,0.018
"Henry County, Iowa",0.452,0.028
"Howard County, Iowa",0.393,0.028
"Humboldt County, Iowa",0.401,0.031
"Ida County, Iowa",0.391,0.021
"Iowa County, Iowa",0.394,0.036
"Jackson County, Iowa",0.407,0.015
"Jasper County, Iowa",0.395,0.014
"Jefferson County, Iowa",0.459,0.034
"Johnson County, Iowa",0.473,0.01
"Jones County, Iowa",0.383,0.014
"Keokuk County, Iowa",0.399,0.028
"Kossuth County, Iowa",0.441,0.029
"Lee County, Iowa",0.412,0.021
"Linn County, Iowa",0.423,0.009
"Louisa County, Iowa",0.356,0.019
"Lucas County, Iowa",0.407,0.024
"Lyon County, Iowa",0.352,0.026
"Madison County, Iowa",0.411,0.022
"Mahaska County, Iowa",0.403,0.016
"Marion County, Iowa",0.397,0.022
"Marshall County, Iowa",0.405,0.018
"Mills County, Iowa",0.38,0.017
"Mitchell County, Iowa",0.355,0.016
"Monona County, Iowa",0.417,0.018
"Monroe County, Iowa",0.401,0.027
"Montgomery County, Iowa",0.414,0.018
"Muscatine County, Iowa",0.402,0.014
"O'Brien County, Iowa",0.445,0.027
"Osceola County, Iowa",0.408,0.034
"Page County, Iowa",0.425,0.028
"Palo Alto County, Iowa",0.428,0.023
"Plymouth County, Iowa",0.42,0.02
"Pocahontas County, Iowa",0.386,0.013
"Polk County, Iowa",0.432,0.007
"Pottawattamie County, Iowa",0.399,0.008
"Poweshiek County, Iowa",0.419,0.018
"Ringgold County, Iowa",0.403,0.035
"Sac County, Iowa",0.422,0.019
"Scott County, Iowa",0.449,0.011
"Shelby County, Iowa",0.399,0.019
"Sioux County, Iowa",0.383,0.021
"Story County, Iowa",0.453,0.016
"Tama County, Iowa",0.403,0.022
"Taylor County, Iowa",0.422,0.027
"Union County, Iowa",0.41,0.018
"Van Buren County, Iowa",0.409,0.027
"Wapello County, Iowa",0.444,0.021
"Warren County, Iowa",0.405,0.017
"Washington County, Iowa",0.383,0.022
"Wayne County, Iowa",0.414,0.026
"Webster County, Iowa",0.434,0.018
"Winnebago County, Iowa",0.405,0.023
"Winneshiek County, Iowa",0.403,0.022
"Woodbury County, Iowa",0.422,0.012
"Worth County, Iowa",0.437,0.054
"Wright County, Iowa",0.407,0.024
"Allen County, Kansas",0.394,0.022
"Anderson County, Kansas",0.402,0.034
"Atchison County, Kansas",0.434,0.034
"Barber County, Kansas",0.424,0.028
"Barton County, Kansas",0.434,0.035
"Bourbon County, Kansas",0.417,0.022
"Brown County, Kansas",0.433,0.021
"Butler County, Kansas",0.418,0.015
"Chase County, Kansas",0.414,0.035
"Chautauqua County, Kansas",0.422,0.031
"Cherokee County, Kansas",0.442,0.035
"Cheyenne County, Kansas",0.437,0.025
"Clark County, Kansas",0.457,0.063
"Clay County, Kansas",0.441,0.065
"Cloud County, Kansas",0.413,0.042
"Coffey County, Kansas",0.396,0.023
"Comanche County, Kansas",0.434,0.059
"Cowley County, Kansas",0.415,0.013
"Crawford County, Kansas",0.46,0.022
"Decatur County, Kansas",0.383,0.026
"Dickinson County, Kansas",0.389,0.016
"Doniphan County, Kansas",0.416,0.028
"Douglas County, Kansas",0.474,0.012
"Edwards County, Kansas",0.426,0.029
"Elk County, Kansas",0.415,0.035
"Ellis County, Kansas",0.453,0.023
"Ellsworth County, Kansas",0.403,0.024
"Finney County, Kansas",0.41,0.022
"Ford County, Kansas",0.408,0.019
"Franklin County, Kansas",0.364,0.014
"Geary County, Kansas",0.392,0.027
"Gove County, Kansas",0.407,0.04
"Graham County, Kansas",0.428,0.036
"Grant County, Kansas",0.414,0.044
"Gray County, Kansas",0.384,0.022
"Greeley County, Kansas",0.476,0.094
"Greenwood County, Kansas",0.426,0.033
"Hamilton County, Kansas",0.427,0.064
"Harper County, Kansas",0.437,0.035
"Harvey County, Kansas",0.402,0.015
"Haskell County, Kansas",0.409,0.034
"Hodgeman County, Kansas",0.394,0.026
"Jackson County, Kansas",0.376,0.019
"Jefferson County, Kansas",0.368,0.021
"Jewell County, Kansas",0.436,0.052
"Johnson County, Kansas",0.427,0.006
"Kearny County, Kansas",0.362,0.027
"Kingman County, Kansas",0.365,0.027
"Kiowa County, Kansas",0.41,0.035
"Labette County, Kansas",0.444,0.053
"Lane County, Kansas",0.469,0.048
"Leavenworth County, Kansas",0.397,0.014
"Lincoln County, Kansas",0.393,0.031
"Linn County, Kansas",0.39,0.019
"Logan County, Kansas",0.431,0.038
"Lyon County, Kansas",0.425,0.016
"McPherson County, Kansas",0.404,0.022
"Marion County, Kansas",0.366,0.019
"Marshall County, Kansas",0.369,0.018
"Meade County, Kansas",0.441,0.073
"Miami County, Kansas",0.379,0.013
"Mitchell County, Kansas",0.41,0.035
"Montgomery County, Kansas",0.42,0.016
"Morris County, Kansas",0.441,0.027
"Morton County, Kansas",0.391,0.035
"Nemaha County, Kansas",0.422,0.036
"Neosho County, Kansas",0.41,0.018
"Ness County, Kansas",0.429,0.04
"Norton County, Kansas",0.401,0.033
"Osage County, Kansas",0.393,0.024
"Osborne County, Kansas",0.479,0.056
"Ottawa County, Kansas",0.365,0.025
"Pawnee County, Kansas",0.358,0.041
"Phillips County, Kansas",0.364,0.023
"Pottawatomie County, Kansas",0.42,0.036
"Pratt County, Kansas",0.449,0.04
"Rawlins County, Kansas",0.411,0.028
"Reno County, Kansas",0.429,0.018
"Republic County, Kansas",0.451,0.036
"Rice County, Kansas",0.384,0.028
"Riley County, Kansas",0.474,0.013
"Rooks County, Kansas",0.454,0.045
"Rush County, Kansas",0.401,0.028
"Russell County, Kansas",0.467,0.038
"Saline County, Kansas",0.422,0.017
"Scott County, Kansas",0.424,0.066
"Sedgwick County, Kansas",0.444,0.006
"Seward County, Kansas",0.412,0.037
"Shawnee County, Kansas",0.435,0.009
"Sheridan County, Kansas",0.396,0.03
"Sherman County, Kansas",0.42,0.043
"Smith County, Kansas",0.41,0.028
"Stafford County, Kansas",0.433,0.042
"Stanton County, Kansas",0.347,0.032
"Stevens County, Kansas",0.372,0.032
"Sumner County, Kansas",0.403,0.014
"Thomas County, Kansas",0.428,0.036
"Trego County, Kansas",0.407,0.041
"Wabaunsee County, Kansas",0.361,0.026
"Wallace County, Kansas",0.4,0.04
"Washington County, Kansas",0.388,0.019
"Wichita County, Kansas",0.352,0.027
"Wilson County, Kansas",0.392,0.02
"Woodson County, Kansas",0.53,0.097
"Wyandotte County, Kansas",0.431,0.012
"Adair County, Kentucky",0.462,0.025
"Allen County, Kentucky",0.42,0.021
"Anderson County, Kentucky",0.376,0.027
"Ballard County, Kentucky",0.448,0.036
"Barren County, Kentucky",0.455,0.02
"Bath County, Kentucky",0.461,0.028
"Bell County, Kentucky",0.49,0.038
"Boone County, Kentucky",0.394,0.013
"Bourbon County, Kentucky",0.433,0.019
"Boyd County, Kentucky",0.472,0.019
"Boyle County, Kentucky",0.479,0.026
"Bracken County, Kentucky",0.424,0.033
"Breathitt County, Kentucky",0.548,0.059
"Breckinridge County, Kentucky",0.419,0.02
"Bullitt County, Kentucky",0.378,0.013
"Butler County, Kentucky",0.437,0.027
"Caldwell County, Kentucky",0.447,0.024
"Calloway County, Kentucky",0.455,0.025
"Campbell County, Kentucky",0.441,0.012
"Carlisle County, Kentucky",0.403,0.032
"Carroll County, Kentucky",0.455,0.034
"Carter County, Kentucky",0.472,0.028
"Casey County, Kentucky",0.437,0.019
"Christian County, Kentucky",0.424,0.013
"Clark County, Kentucky",0.438,0.02
"Clay County, Kentucky",0.512,0.042
"Clinton County, Kentucky",0.487,0.041
"Crittenden County, Kentucky",0.463,0.075
"Cumberland County, Kentucky",0.419,0.026
"Daviess County, Kentucky",0.438,0.014
"Edmonson County, Kentucky",0.445,0.061
"Elliott County, Kentucky",0.496,0.04
"Estill County, Kentucky",0.485,0.033
"Fayette County, Kentucky",0.481,0.009
"Fleming County, Kentucky",0.462,0.033
"Floyd County, Kentucky",0.469,0.02
"Franklin County, Kentucky",0.442,0.024
"Fulton County, Kentucky",0.442,0.029
"Gallatin County, Kentucky",0.389,0.031
"Garrard County, Kentucky",0.438,0.023
"Grant County, Kentucky",0.424,0.036
"Graves County, Kentucky",0.464,0.016
"Grayson County, Kentucky",0.434,0.025
"Green County, Kentucky",0.5,0.069
"Greenup County, Kentucky",0.442,0.015
"Hancock County, Kentucky",0.373,0.027
"Hardin County, Kentucky",0.41,0.014
"Harlan County, Kentucky",0.476,0.018
"Harrison County, Kentucky",0.433,0.023
"Hart County, Kentucky",0.474,0.035
"Henderson County, Kentucky",0.437,0.015
"Henry County, Kentucky",0.414,0.023
"Hickman County, Kentucky",0.45,0.048
"Hopkins County, Kentucky",0.442,0.016
"Jackson County, Kentucky",0.493,0.03
"Jefferson County, Kentucky",0.47,0.005
"Jessamine County, Kentucky",0.469,0.027
"Johnson County, Kentucky",0.503,0.045
"Kenton County, Kentucky",0.433,0.01
"Knott County, Kentucky",0.463,0.021
"Knox County, Kentucky",0.507,0.025
"Larue County, Kentucky",0.427,0.02
"Laurel County, Kentucky",0.471,0.026
"Lawrence County, Kentucky",0.464,0.046
"Lee County, Kentucky",0.464,0.031
"Leslie County, Kentucky",0.45,0.032
"Letcher County, Kentucky",0.477,0.022
"Lewis County, Kentucky",0.469,0.026
"Lincoln County, Kentucky",0.438,0.018
"Livingston County, Kentucky",0.414,0.026
"Logan County, Kentucky",0.456,0.021
"Lyon County, Kentucky",0.411,0.033
"McCracken County, Kentucky",0.473,0.014
"McCreary County, Kentucky",0.434,0.023
"McLean County, Kentucky",0.442,0.032
"Madison County, Kentucky",0.443,0.014
"Magoffin County, Kentucky",0.502,0.044
"Marion County, Kentucky",0.442,0.023
"Marshall County, Kentucky",0.414,0.024
"Martin County, Kentucky",0.463,0.021
"Mason County, Kentucky",0.484,0.035
"Meade County, Kentucky",0.377,0.015
"Menifee County, Kentucky",0.433,0.037
"Mercer County, Kentucky",0.427,0.022
"Metcalfe County, Kentucky",0.41,0.026
"Monroe County, Kentucky",0.465,0.026
"Montgomery County, Kentucky",0.46,0.037
"Morgan County, Kentucky",0.542,0.102
"Muhlenberg County, Kentucky",0.446,0.024
"Nelson County, Kentucky",0.407,0.017
"Nicholas County, Kentucky",0.412,0.028
"Ohio County, Kentucky",0.441,0.036
"Oldham County, Kentucky",0.427,0.013
"Owen County, Kentucky",0.39,0.022
"Owsley County, Kentucky",0.499,0.042
"Pendleton County, Kentucky",0.402,0.023
"Perry County, Kentucky",0.539,0.056
"Pike County, Kentucky",0.466,0.012
"Powell County, Kentucky",0.444,0.029
"Pulaski County, Kentucky",0.497,0.017
"Robertson County, Kentucky",0.452,0.054
"Rockcastle County, Kentucky",0.503,0.035
"Rowan County, Kentucky",0.489,0.03
"Russell County, Kentucky",0.493,0.028
"Scott County, Kentucky",0.416,0.017
"Shelby County, Kentucky",0.434,0.024
"Simpson County, Kentucky",0.411,0.033
"Spencer County, Kentucky",0.366,0.022
"Taylor County, Kentucky",0.437,0.023
"Todd County, Kentucky",0.433,0.026
"Trigg County, Kentucky",0.465,0.047
"Trimble County, Kentucky",0.407,0.027
"Union County, Kentucky",0.394,0.022
"Warren County, Kentucky",0.461,0.018
"Washington County, Kentucky",0.417,0.027
"Wayne County, Kentucky",0.486,0.037
"Webster County, Kentucky",0.417,0.023
"Whitley County, Kentucky",0.481,0.032
"Wolfe County, Kentucky",0.474,0.036
"Woodford County, Kentucky",0.418,0.026
"Acadia Parish, Louisiana",0.452,0.02
"Allen Parish, Louisiana",0.434,0.015
"Ascension Parish, Louisiana",0.409,0.014
"Assumption Parish, Louisiana",0.419,0.022
"Avoyelles Parish, Louisiana",0.458,0.018
"Beauregard Parish, Louisiana",0.424,0.014
"Bienville Parish, Louisiana",0.501,0.021
"Bossier Parish, Louisiana",0.438,0.014
"Caddo Parish, Louisiana",0.502,0.01
"Calcasieu Parish, Louisiana",0.468,0.012
"Caldwell Parish, Louisiana",0.497,0.059
"Cameron Parish, Louisiana",0.411,0.04
"Catahoula Parish, Louisiana",0.454,0.048
"Claiborne Parish, Louisiana",0.474,0.028
"Concordia Parish, Louisiana",0.478,0.02
"De Soto Parish, Louisiana",0.464,0.017
"East Baton Rouge Parish, Louisiana",0.49,0.007
"East Carroll Parish, Louisiana",0.645,0.078
"East Feliciana Parish, Louisiana",0.46,0.023
"Evangeline Parish, Louisiana",0.468,0.02
"Franklin Parish, Louisiana",0.482,0.03
"Grant Parish, Louisiana",0.431,0.023
"Iberia Parish, Louisiana",0.459,0.021
"Iberville Parish, Louisiana",0.476,0.04
"Jackson Parish, Louisiana",0.413,0.019
"Jefferson Parish, Louisiana",0.458,0.007
"Jefferson Davis Parish, Louisiana",0.431,0.018
"Lafayette Parish, Louisiana",0.485,0.01
"Lafourche Parish, Louisiana",0.461,0.017
"La Salle Parish, Louisiana",0.449,0.02
"Lincoln Parish, Louisiana",0.523,0.024
"Livingston Parish, Louisiana",0.4,0.012
"Madison Parish, Louisiana",0.491,0.049
"Morehouse Parish, Louisiana",0.459,0.022
"Natchitoches Parish, Louisiana",0.514,0.015
"Orleans Parish, Louisiana",0.541,0.009
"Ouachita Parish, Louisiana",0.492,0.015
"Plaquemines Parish, Louisiana",0.411,0.023
"Pointe Coupee Parish, Louisiana",0.463,0.023
"Rapides Parish, Louisiana",0.472,0.014
"Red River Parish, Louisiana",0.511,0.052
"Richland Parish, Louisiana",0.453,0.021
"Sabine Parish, Louisiana",0.492,0.026
"St. Bernard Parish, Louisiana",0.416,0.019
"St. Charles Parish, Louisiana",0.412,0.015
"St. Helena Parish, Louisiana",0.475,0.035
"St. James Parish, Louisiana",0.426,0.016
"St. John the Baptist Parish, Louisiana",0.421,0.018
"St. Landry Parish, Louisiana",0.498,0.013
"St. Martin Parish, Louisiana",0.456,0.023
"St. Mary Parish, Louisiana",0.437,0.011
"St. Tammany Parish, Louisiana",0.441,0.01
"Tangipahoa Parish, Louisiana",0.473,0.012
"Tensas Parish, Louisiana",0.477,0.026
"Terrebonne Parish, Louisiana",0.449,0.012
"Union Parish, Louisiana",0.476,0.031
"Vermilion Parish, Louisiana",0.454,0.017
"Vernon Parish, Louisiana",0.404,0.009
"Washington Parish, Louisiana",0.495,0.024
"Webster Parish, Louisiana",0.451,0.015
"West Baton Rouge Parish, Louisiana",0.421,0.017
"West Carroll Parish, Louisiana",0.462,0.024
"West Feliciana Parish, Louisiana",0.462,0.035
"Winn Parish, Louisiana",0.453,0.022
"Androscoggin County, Maine",0.414,0.01
"Aroostook County, Maine",0.425,0.009
"Cumberland County, Maine",0.45,0.008
"Franklin County, Maine",0.41,0.018
"Hancock County, Maine",0.437,0.019
"Kennebec County, Maine",0.423,0.01
"Knox County, Maine",0.436,0.017
"Lincoln County, Maine",0.442,0.032
"Oxford County, Maine",0.421,0.016
"Penobscot County, Maine",0.436,0.008
"Piscataquis County, Maine",0.419,0.012
"Sagadahoc County, Maine",0.392,0.013
"Somerset County, Maine",0.443,0.014
"Waldo County, Maine",0.421,0.016
"Washington County, Maine",0.424,0.011
"York County, Maine",0.398,0.009
"Allegany County, Maryland",0.446,0.014
"Anne Arundel County, Maryland",0.406,0.006
"Baltimore County, Maryland",0.438,0.005
"Calvert County, Maryland",0.369,0.011
"Caroline County, Maryland",0.385,0.016
"Carroll County, Maryland",0.386,0.009
"Cecil County, Maryland",0.403,0.013
"Charles County, Maryland",0.359,0.01
"Dorchester County, Maryland",0.45,0.02
"Frederick County, Maryland",0.376,0.007
"Garrett County, Maryland",0.433,0.019
"Harford County, Maryland",0.39,0.008
"Howard County, Maryland",0.39,0.006
"Kent County, Maryland",0.484,0.05
"Montgomery County, Maryland",0.453,0.004
"Prince George's County, Maryland",0.38,0.003
"Queen Anne's County, Maryland",0.399,0.018
"St. Mary's County, Maryland",0.388,0.016
"Somerset County, Maryland",0.432,0.023
"Talbot County, Maryland",0.469,0.021
"Washington County, Maryland",0.427,0.011
"Wicomico County, Maryland",0.437,0.013
"Worcester County, Maryland",0.443,0.022
"Baltimore city, Maryland",0.495,0.006
"Barnstable County, Massachusetts",0.443,0.009
"Berkshire County, Massachusetts",0.462,0.012
"Bristol County, Massachusetts",0.442,0.005
"Dukes County, Massachusetts",0.461,0.03
"Essex County, Massachusetts",0.471,0.005
"Franklin County, Massachusetts",0.411,0.01
"Hampden County, Massachusetts",0.459,0.006
"Hampshire County, Massachusetts",0.435,0.009
"Middlesex County, Massachusetts",0.461,0.004
"Nantucket County, Massachusetts",0.547,0.052
"Norfolk County, Massachusetts",0.47,0.005
"Plymouth County, Massachusetts",0.425,0.005
"Suffolk County, Massachusetts",0.518,0.006
"Worcester County, Massachusetts",0.433,0.005
"Alcona County, Michigan",0.413,0.015
"Alger County, Michigan",0.418,0.025
"Allegan County, Michigan",0.402,0.012
"Alpena County, Michigan",0.43,0.015
"Antrim County, Michigan",0.441,0.025
"Arenac County, Michigan",0.414,0.015
"Baraga County, Michigan",0.409,0.032
"Barry County, Michigan",0.392,0.016
"Bay County, Michigan",0.42,0.013
"Benzie County, Michigan",0.406,0.021
"Berrien County, Michigan",0.467,0.011
"Branch County, Michigan",0.409,0.012
"Calhoun County, Michigan",0.434,0.008
"Cass County, Michigan",0.428,0.013
"Charlevoix County, Michigan",0.462,0.026
"Cheboygan County, Michigan",0.454,0.016
"Chippewa County, Michigan",0.451,0.024
"Clare County, Michigan",0.424,0.017
"Clinton County, Michigan",0.408,0.015
"Crawford County, Michigan",0.441,0.032
"Delta County, Michigan",0.412,0.013
"Dickinson County, Michigan",0.431,0.023
"Eaton County, Michigan",0.377,0.008
"Emmet County, Michigan",0.461,0.014
"Genesee County, Michigan",0.439,0.006
"Gladwin County, Michigan",0.431,0.016
"Gogebic County, Michigan",0.43,0.018
"Grand Traverse County, Michigan",0.435,0.016
"Gratiot County, Michigan",0.419,0.014
"Hillsdale County, Michigan",0.404,0.011
"Houghton County, Michigan",0.459,0.013
"Huron County, Michigan",0.428,0.019
"Ingham County, Michigan",0.462,0.007
"Ionia County, Michigan",0.398,0.012
"Iosco County, Michigan",0.421,0.026
"Iron County, Michigan",0.411,0.021
"Isabella County, Michigan",0.477,0.011
"Jackson County, Michigan",0.418,0.008
"Kalamazoo County, Michigan",0.466,0.007
"Kalkaska County, Michigan",0.399,0.016
"Kent County, Michigan",0.441,0.004
"Keweenaw County, Michigan",0.407,0.037
"Lake County, Michigan",0.433,0.02
"Lapeer County, Michigan",0.413,0.019
"Leelanau County, Michigan",0.451,0.017
"Lenawee County, Michigan",0.393,0.009
"Livingston County, Michigan",0.387,0.008
"Luce County, Michigan",0.394,0.024
"Mackinac County, Michigan",0.409,0.022
"Macomb County, Michigan",0.404,0.004
"Manistee County, Michigan",0.421,0.015
"Marquette County, Michigan",0.439,0.014
"Mason County, Michigan",0.428,0.016
"Mecosta County, Michigan",0.442,0.013
"Menominee County, Michigan",0.398,0.013
"Midland County, Michigan",0.463,0.011
"Missaukee County, Michigan",0.396,0.015
"Monroe County, Michigan",0.396,0.007
"Montcalm County, Michigan",0.405,0.009
"Montmorency County, Michigan",0.403,0.021
"Muskegon County, Michigan",0.423,0.009
"Newaygo County, Michigan",0.438,0.015
"Oakland County, Michigan",0.458,0.004
"Oceana County, Michigan",0.39,0.011
"Ogemaw County, Michigan",0.434,0.018
"Ontonagon County, Michigan",0.409,0.019
"Osceola County, Michigan",0.394,0.011
"Oscoda County, Michigan",0.417,0.037
"Otsego County, Michigan",0.419,0.028
"Ottawa County, Michigan",0.414,0.01
"Presque Isle County, Michigan",0.402,0.014
"Roscommon County, Michigan",0.428,0.026
"Saginaw County, Michigan",0.442,0.008
"St. Clair County, Michigan",0.409,0.009
"St. Joseph County, Michigan",0.405,0.012
"Sanilac County, Michigan",0.405,0.012
"Schoolcraft County, Michigan",0.44,0.029
"Shiawassee County, Michigan",0.403,0.01
"Tuscola County, Michigan",0.39,0.011
"Van Buren County, Michigan",0.436,0.017
"Washtenaw County, Michigan",0.463,0.007
"Wayne County, Michigan",0.469,0.003
"Wexford County, Michigan",0.424,0.017
"Aitkin County, Minnesota",0.406,0.012
"Anoka County, Minnesota",0.371,0.007
"Becker County, Minnesota",0.43,0.011
"Beltrami County, Minnesota",0.429,0.013
"Benton County, Minnesota",0.39,0.014
"Big Stone County, Minnesota",0.42,0.021
"Blue Earth County, Minnesota",0.429,0.015
"Brown County, Minnesota",0.406,0.023
"Carlton County, Minnesota",0.396,0.015
"Carver County, Minnesota",0.4,0.011
"Cass County, Minnesota",0.435,0.012
"Chippewa County, Minnesota",0.41,0.019
"Chisago County, Minnesota",0.349,0.013
"Clay County, Minnesota",0.404,0.009
"Clearwater County, Minnesota",0.421,0.019
"Cook County, Minnesota",0.422,0.031
"Cottonwood County, Minnesota",0.455,0.048
"Crow Wing County, Minnesota",0.42,0.013
"Dakota County, Minnesota",0.395,0.006
"Dodge County, Minnesota",0.364,0.016
"Douglas County, Minnesota",0.419,0.012
"Faribault County, Minnesota",0.417,0.014
"Fillmore County, Minnesota",0.412,0.015
"Freeborn County, Minnesota",0.422,0.017
"Goodhue County, Minnesota",0.399,0.011
"Grant County, Minnesota",0.415,0.018
"Hennepin County, Minnesota",0.476,0.005
"Houston County, Minnesota",0.41,0.015
"Hubbard County, Minnesota",0.429,0.021
"Isanti County, Minnesota",0.369,0.014
"Itasca County, Minnesota",0.407,0.012
"Jackson County, Minnesota",0.413,0.019
"Kanabec County, Minnesota",0.364,0.013
"Kandiyohi County, Minnesota",0.441,0.017
"Kittson County, Minnesota",0.406,0.028
