"Gini Coefficient*, All Counties in the United States, 2006-2010",,
,,
,,
Geography,Gini Coefficient Estimate,Margin of Error
"Johnson County, Arkansas",0.45,0.026
"Lafayette County, Arkansas",0.509,0.036
"Lawrence County, Arkansas",0.427,0.019
"Lee County, Arkansas",0.431,0.028
"Lincoln County, Arkansas",0.483,0.045
"Little River County, Arkansas",0.43,0.02
"Logan County, Arkansas",0.427,0.02
"Lonoke County, Arkansas",0.391,0.012
"Madison County, Arkansas",0.446,0.036
"Marion County, Arkansas",0.431,0.029
"Miller County, Arkansas",0.432,0.017
"Mississippi County, Arkansas",0.467,0.018
"Monroe County, Arkansas",0.47,0.033
"Montgomery County, Arkansas",0.493,0.074
"Nevada County, Arkansas",0.461,0.061
"Newton County, Arkansas",0.437,0.038
"Ouachita County, Arkansas",0.451,0.016
"Perry County, Arkansas",0.39,0.022
"Phillips County, Arkansas",0.469,0.021
"Pike County, Arkansas",0.463,0.039
"Poinsett County, Arkansas",0.434,0.018
"Polk County, Arkansas",0.417,0.016
"Pope County, Arkansas",0.434,0.012
"Prairie County, Arkansas",0.415,0.024
"Pulaski County, Arkansas",0.482,0.008
"Randolph County, Arkansas",0.49,0.027
"St. Francis County, Arkansas",0.475,0.022
"Saline County, Arkansas",0.394,0.01
"Scott County, Arkansas",0.438,0.027
"Searcy County, Arkansas",0.436,0.029
"Sebastian County, Arkansas",0.468,0.015
"Sevier County, Arkansas",0.409,0.033
"Sharp County, Arkansas",0.427,0.021
"Stone County, Arkansas",0.437,0.025
"Union County, Arkansas",0.471,0.017
"Van Buren County, Arkansas",0.438,0.029
"Washington County, Arkansas",0.461,0.01
"White County, Arkansas",0.455,0.022
"Woodruff County, Arkansas",0.51,0.045
"Yell County, Arkansas",0.385,0.019
"Alameda County, California",0.456,0.003
"Alpine County, California",0.449,0.075
"Amador County, California",0.399,0.018
"Butte County, California",0.449,0.008
"Calaveras County, California",0.412,0.018
"Colusa County, California",0.429,0.027
"Contra Costa County, California",0.453,0.005
"Del Norte County, California",0.448,0.031
"El Dorado County, California",0.421,0.009
"Fresno County, California",0.459,0.005
"Glenn County, California",0.436,0.02
"Humboldt County, California",0.473,0.02
"Imperial County, California",0.469,0.014
"Inyo County, California",0.427,0.018
"Kern County, California",0.452,0.005
"Kings County, California",0.413,0.01
"Lake County, California",0.442,0.016
"Lassen County, California",0.422,0.021
"Los Angeles County, California",0.489,0.002
"Madera County, California",0.441,0.011
"Marin County, California",0.498,0.009
"Mariposa County, California",0.428,0.029
"Mendocino County, California",0.444,0.012
"Merced County, California",0.46,0.011
"Modoc County, California",0.43,0.022
"Mono County, California",0.401,0.046
"Monterey County, California",0.45,0.01
"Napa County, California",0.461,0.01
"Nevada County, California",0.426,0.011
"Orange County, California",0.455,0.003
"Placer County, California",0.422,0.006
"Plumas County, California",0.446,0.033
"Riverside County, California",0.439,0.004
"Sacramento County, California",0.431,0.004
"San Benito County, California",0.414,0.017
"San Bernardino County, California",0.422,0.004
"San Diego County, California",0.452,0.003
"San Francisco County, California",0.507,0.004
"San Joaquin County, California",0.437,0.007
"San Luis Obispo County, California",0.456,0.008
"San Mateo County, California",0.467,0.005
"Santa Barbara County, California",0.475,0.008
"Santa Clara County, California",0.45,0.005
"Santa Cruz County, California",0.467,0.008
"Shasta County, California",0.453,0.01
"Sierra County, California",0.389,0.052
"Siskiyou County, California",0.448,0.019
"Solano County, California",0.404,0.005
"Sonoma County, California",0.441,0.007
"Stanislaus County, California",0.441,0.007
"Sutter County, California",0.424,0.011
"Tehama County, California",0.453,0.018
"Trinity County, California",0.409,0.022
"Tulare County, California",0.445,0.006
"Tuolumne County, California",0.433,0.016
"Ventura County, California",0.435,0.005
"Yolo County, California",0.456,0.009
"Yuba County, California",0.418,0.013
"Adams County, Colorado",0.403,0.006
"Alamosa County, Colorado",0.474,0.024
"Arapahoe County, Colorado",0.463,0.006
"Archuleta County, Colorado",0.485,0.069
"Baca County, Colorado",0.468,0.047
"Bent County, Colorado",0.412,0.035
"Boulder County, Colorado",0.483,0.009
"Broomfield County, Colorado",0.403,0.017
"Chaffee County, Colorado",0.456,0.04
"Cheyenne County, Colorado",0.397,0.04
"Clear Creek County, Colorado",0.426,0.039
"Conejos County, Colorado",0.429,0.027
"Costilla County, Colorado",0.508,0.062
"Crowley County, Colorado",0.437,0.041
"Custer County, Colorado",0.472,0.063
"Delta County, Colorado",0.42,0.022
"Denver County, Colorado",0.511,0.006
"Dolores County, Colorado",0.367,0.043
"Douglas County, Colorado",0.375,0.009
"Eagle County, Colorado",0.464,0.026
"Elbert County, Colorado",0.374,0.029
"El Paso County, Colorado",0.43,0.006
"Fremont County, Colorado",0.448,0.024
"Garfield County, Colorado",0.388,0.021
"Gilpin County, Colorado",0.39,0.036
"Grand County, Colorado",0.358,0.027
"Gunnison County, Colorado",0.447,0.027
"Hinsdale County, Colorado",0.391,0.114
"Huerfano County, Colorado",0.517,0.048
"Jackson County, Colorado",0.445,0.087
"Jefferson County, Colorado",0.426,0.005
"Kiowa County, Colorado",0.433,0.047
"Kit Carson County, Colorado",0.374,0.02
"Lake County, Colorado",0.395,0.041
"La Plata County, Colorado",0.419,0.018
"Larimer County, Colorado",0.45,0.009
"Las Animas County, Colorado",0.463,0.038
