"flu_season","age_group","region","cases","pop","cumulative_incidence"
"2014-2015","18-44","FLORIDA",36778,5901962.65266684,0.0062314863994237
"2014-2015","18-44","REGION3",4290,690566.097458953,0.00621229454470142
"2014-2015","45-64","ALACHUA",249,58582.0190597241,0.00425045097449007
"2014-2015","45-64","FLORIDA",15640,4816104.96024736,0.00324743753076277
"2014-2015","45-64","REGION3",1638,575036.838557557,0.00284851315632024
"2014-2015","65+","ALACHUA",76,29361.8724755655,0.0025883907800242
"2014-2015","65+","FLORIDA",11873,3190033.94794592,0.00372190396520548
"2014-2015","65+","REGION3",1038,337904.462672717,0.00307187419719097
"2014-2015","all","ALACHUA",1098,255412.222585438,0.00429893287363219
"2014-2015","all","FLORIDA",126772,17525064.2203098,0.00723375380576832
"2014-2015","all","REGION3",12429,2052961.37542073,0.00605418112040847
NA,"00-04","ALACHUA",339,13527.5932818391,0.0250598900290054
NA,"00-04","FLORIDA",115555,946475.469094489,0.122089799232254
NA,"00-04","REGION3",10745,119373.83183404,0.0900113520267852
NA,"05-17","ALACHUA",329,37009.1427861061,0.00888969522751314
NA,"05-17","FLORIDA",102337,2589367.74100449,0.0395220031436325
NA,"05-17","REGION3",10075,320442.84813985,0.0314408639746049
NA,"18-44","ALACHUA",969,114877.559794183,0.00843506775157902
NA,"18-44","FLORIDA",127977,5738922.36021044,0.0222998312169721
NA,"18-44","REGION3",12475,672492.758615801,0.0185503856215157
NA,"45-64","ALACHUA",257,56321.324143179,0.00456310294386296
NA,"45-64","FLORIDA",40890,4539449.88510753,0.00900769939858723
NA,"45-64","REGION3",3499,541311.00956003,0.00646393651376857
NA,"65+","ALACHUA",86,27639.1393107064,0.00311152959696855
NA,"65+","FLORIDA",17666,3034571.6989953,0.00582157937011307
NA,"65+","REGION3",1352,314646.917442213,0.0042968798518368
NA,"all","ALACHUA",1980,249374.759316013,0.00793985728720405
NA,"all","FLORIDA",404425,16848787.1544122,0.0240032114058781
NA,"all","REGION3",38146,1968267.36559193,0.0193804971147952
