Date,Data,Expected,Detection
10Jan15,6,6.536,0.616
09Jan15,2,6.571,0.915
08Jan15,6,6.5,0.61
07Jan15,2,6.75,0.798
06Jan15,8,6.821,0.361
05Jan15,5,6.857,0.445
04Jan15,11,6.821,0.121
03Jan15,8,6.929,0.374
02Jan15,8,6.857,0.416
01Jan15,3,7.429,0.846
31Dec14,7,7.5,0.578
30Dec14,4,7.571,0.801
29Dec14,6,7.679,0.656
28Dec14,7,7.714,0.581
27Dec14,6,7.929,0.686
26Dec14,7,7.821,0.618
25Dec14,3,7.536,0.668
24Dec14,10,7.536,0.259
23Dec14,10,7.429,0.308
22Dec14,3,7.321,0.537
21Dec14,11,7.25,0.11
20Dec14,12,7.214,0.118
19Dec14,10,7.429,0.272
18Dec14,7,7.75,0.619
17Dec14,2,8.107,0.905
16Dec14,7,8.429,0.646
15Dec14,6,8.607,0.766
14Dec14,3,8.643,0.921
13Dec14,2,8.5,0.939
12Dec14,4,9.071,0.849
11Dec14,11,9.321,0.415
10Dec14,3,9.357,0.876
09Dec14,6,9.107,0.529
08Dec14,12,9.107,0.228
07Dec14,13,9.036,0.207
06Dec14,9,9.321,0.548
05Dec14,7,9.714,0.735
04Dec14,6,9.179,0.656
03Dec14,5,9.179,0.398
02Dec14,20,9.25,0.013
01Dec14,8,9.107,0.595
30Nov14,9,8.893,0.491
29Nov14,9,8.964,0.505
28Nov14,8,9.393,0.61
27Nov14,9,9.75,0.587
26Nov14,7,9.929,0.782
25Nov14,2,10.036,0.961
24Nov14,3,9.964,0.925
23Nov14,8,9.964,0.665
22Nov14,9,10.036,0.605
21Nov14,8,9.964,0.687
20Nov14,6,9.75,0.582
19Nov14,8,9.571,0.209
18Nov14,16,9.643,0.043
17Nov14,16,9.821,0.087
16Nov14,12,10.107,0.368
15Nov14,7,10.179,0.795
14Nov14,5,9.893,0.698
13Nov14,7,9.75,0.213
12Nov14,19,9.607,0.01
11Nov14,13,9.75,0.186
10Nov14,13,9.607,0.228
